Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,получение средств,1090.47,безналичный,Гродно,МаксБанк-HHXQ-514,26-12-2016,06:14:47,успешно,нет,0.0
юр. лицо,списание средств,2178.0,наличный,Минск,Беларусбанк-UXQV-577,05-03-2012,15:04:52,успешно,да,27.65
физ. лицо,списание средств,1218.33,наличный,Гомель,Приорбанк-HBBE-201,14-02-2004,03:07:26,успешно,нет,0.0
юр. лицо,списание средств,4218.02,наличный,Могилев,Приорбанк-RFXB-873,03-08-2001,05:27:10,недостаточно средств,да,359.13
юр. лицо,получение средств,4467.82,наличный,Витебск,БелАгропромбанк-GBLW-865,09-12-2015,21:26:29,успешно,нет,0.0
юр. лицо,получение средств,1499.25,безналичный,Брест,БелАгропромбанк-GSQB-049,20-02-2016,04:39:36,успешно,нет,0.0
юр. лицо,списание средств,2700.54,наличный,Минск,Белинвестбанк-GGUZ-593,23-05-2003,22:42:49,недостаточно средств,да,87.84
юр. лицо,получение средств,1624.16,наличный,Витебск,БелАгропромбанк-ULWA-282,19-09-2013,00:47:23,успешно,нет,0.0
физ. лицо,списание средств,2867.2,безналичный,Минск,Беларусбанк-ZNLM-769,12-10-2021,09:20:45,успешно,да,242.09
юр. лицо,получение средств,4809.35,наличный,Могилев,Беларусбанк-TMTJ-008,13-12-2008,01:32:33,успешно,нет,0.0
физ. лицо,получение средств,3792.66,наличный,Могилев,Беларусбанк-SRRO-205,31-03-2016,20:27:30,успешно,нет,0.0
юр. лицо,получение средств,2485.91,наличный,Минск,Белинвестбанк-OMEB-588,29-08-2000,03:57:24,успешно,нет,0.0
физ. лицо,получение средств,4234.83,наличный,Витебск,Беларусбанк-JMSA-300,16-05-2004,19:15:37,успешно,нет,0.0
юр. лицо,получение средств,3827.68,безналичный,Минск,Приорбанк-ECIL-497,14-01-2000,06:41:52,успешно,нет,0.0
юр. лицо,списание средств,3065.5,наличный,Витебск,Беларусбанк-RZGI-757,18-05-2000,10:39:43,неправильный ввод пин-кода,да,290.36
физ. лицо,списание средств,4136.38,безналичный,Гомель,БелАгропромбанк-HRXE-437,29-01-2014,11:59:53,недостаточно средств,да,124.56
юр. лицо,списание средств,1670.69,наличный,Гродно,БелАгропромбанк-ECJP-382,15-01-2016,18:10:14,неправильный ввод пин-кода,да,21.63
юр. лицо,списание средств,543.97,наличный,Брест,БелАгропромбанк-SAMF-161,17-12-2016,20:28:10,успешно,да,34.88
юр. лицо,получение средств,3976.75,безналичный,Витебск,БелАгропромбанк-RVFR-023,25-08-2011,06:34:50,успешно,нет,0.0
юр. лицо,списание средств,1684.01,безналичный,Гродно,Приорбанк-XWMG-448,12-03-2005,09:38:42,недостаточно средств,нет,0.0
физ. лицо,получение средств,2017.34,наличный,Минск,БелАгропромбанк-DACV-482,11-08-2013,16:06:32,успешно,нет,0.0
физ. лицо,получение средств,4037.41,безналичный,Брест,Белинвестбанк-YIUE-556,17-12-2010,18:16:06,успешно,нет,0.0
физ. лицо,списание средств,2569.07,безналичный,Гомель,БелАгропромбанк-RMSI-039,04-02-2011,10:20:10,недостаточно средств,нет,0.0
юр. лицо,списание средств,943.58,безналичный,Могилев,Беларусбанк-DARL-267,09-06-2024,23:00:22,успешно,да,78.17
юр. лицо,получение средств,4924.02,наличный,Витебск,МаксБанк-IFDT-841,01-07-2005,05:18:30,успешно,нет,0.0
юр. лицо,получение средств,2760.38,безналичный,Витебск,БелАгропромбанк-VGKI-706,04-05-2007,05:11:52,успешно,нет,0.0
юр. лицо,списание средств,117.15,наличный,Минск,Приорбанк-SOJK-567,21-03-2002,07:01:56,успешно,да,7.52
юр. лицо,получение средств,155.32,безналичный,Гродно,Беларусбанк-FFCT-564,04-02-2018,21:29:20,успешно,нет,0.0
физ. лицо,получение средств,676.62,наличный,Минск,МаксБанк-JTNB-170,10-04-2002,14:27:39,успешно,нет,0.0
физ. лицо,списание средств,2818.93,безналичный,Брест,Приорбанк-ROHX-088,16-04-2008,08:42:22,недостаточно средств,да,236.25
юр. лицо,получение средств,1413.58,наличный,Брест,МаксБанк-SFND-636,28-02-2004,07:27:24,успешно,нет,0.0
физ. лицо,получение средств,1624.12,безналичный,Минск,Приорбанк-PATI-759,05-05-2008,09:55:30,успешно,нет,0.0
юр. лицо,получение средств,4991.8,наличный,Могилев,МаксБанк-ZSMJ-280,25-06-2009,14:36:14,успешно,нет,0.0
юр. лицо,получение средств,2381.95,наличный,Брест,Беларусбанк-KOKQ-372,01-11-2022,19:08:59,успешно,нет,0.0
юр. лицо,списание средств,4143.94,безналичный,Гродно,БелАгропромбанк-WFYS-614,22-04-2017,01:41:15,неправильный ввод пин-кода,да,63.72
физ. лицо,получение средств,1127.43,наличный,Гомель,Беларусбанк-ZJST-447,24-12-2002,05:43:43,успешно,нет,0.0
юр. лицо,списание средств,395.98,безналичный,Витебск,БелАгропромбанк-PXZA-411,11-02-2001,05:56:46,недостаточно средств,да,29.25
физ. лицо,получение средств,341.78,наличный,Витебск,Приорбанк-YRYF-484,12-04-2017,03:34:11,успешно,нет,0.0
физ. лицо,получение средств,2182.2,наличный,Брест,Белинвестбанк-IZTP-179,21-12-2006,23:09:26,успешно,нет,0.0
физ. лицо,получение средств,2928.84,безналичный,Брест,Белинвестбанк-UIFD-436,22-04-2022,13:08:04,успешно,нет,0.0
физ. лицо,списание средств,252.44,безналичный,Минск,БелАгропромбанк-JUWD-436,22-06-2001,19:00:07,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3959.35,безналичный,Гродно,БелАгропромбанк-YVTG-490,27-01-2013,14:12:52,успешно,нет,0.0
юр. лицо,списание средств,3706.81,безналичный,Брест,Белинвестбанк-BUXU-858,25-06-2018,19:51:41,неправильный ввод пин-кода,да,238.33
юр. лицо,списание средств,1743.99,наличный,Брест,БелАгропромбанк-YTUB-535,27-06-2019,10:30:09,недостаточно средств,да,60.69
юр. лицо,списание средств,3468.96,наличный,Гродно,БелАгропромбанк-MWET-888,18-11-2024,18:04:13,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2231.73,безналичный,Могилев,БелАгропромбанк-SSLA-700,24-11-2002,12:26:17,успешно,нет,0.0
физ. лицо,списание средств,1655.96,наличный,Гродно,Приорбанк-DBZI-173,20-08-2005,00:41:46,успешно,нет,0.0
юр. лицо,списание средств,840.79,наличный,Минск,Беларусбанк-HRMD-394,18-05-2004,01:28:25,недостаточно средств,нет,0.0
физ. лицо,получение средств,4896.15,наличный,Брест,МаксБанк-XMBR-348,22-07-2001,21:21:38,успешно,нет,0.0
юр. лицо,получение средств,1928.96,наличный,Могилев,МаксБанк-EEZA-219,24-12-2010,07:30:45,успешно,нет,0.0
юр. лицо,получение средств,3957.85,безналичный,Могилев,БелАгропромбанк-TAJR-711,29-07-2000,22:24:01,успешно,нет,0.0
юр. лицо,получение средств,3638.47,наличный,Минск,МаксБанк-VFKH-372,01-08-2008,17:41:06,успешно,нет,0.0
физ. лицо,получение средств,2391.72,наличный,Гродно,Белинвестбанк-XUHA-547,23-11-2008,19:09:22,успешно,нет,0.0
физ. лицо,получение средств,769.84,наличный,Витебск,Приорбанк-RHFR-252,11-07-2023,02:31:12,успешно,нет,0.0
физ. лицо,получение средств,2415.38,наличный,Брест,МаксБанк-BIMY-210,26-01-2016,02:00:24,успешно,нет,0.0
физ. лицо,списание средств,4466.1,безналичный,Брест,Приорбанк-DWYR-719,22-07-2010,12:07:24,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4682.51,наличный,Минск,БелАгропромбанк-KABD-729,12-04-2021,10:45:04,успешно,нет,0.0
физ. лицо,получение средств,3324.07,наличный,Могилев,МаксБанк-BOPP-492,08-06-2002,19:58:21,успешно,нет,0.0
физ. лицо,получение средств,920.05,безналичный,Минск,Приорбанк-LPWZ-015,28-07-2005,05:46:56,успешно,нет,0.0
юр. лицо,списание средств,3684.26,наличный,Гомель,БелАгропромбанк-PYOM-393,28-10-2018,01:53:57,недостаточно средств,нет,0.0
юр. лицо,получение средств,3140.37,наличный,Гродно,Беларусбанк-ODVK-127,12-02-2006,17:29:44,успешно,нет,0.0
юр. лицо,получение средств,4069.2,наличный,Брест,Белинвестбанк-KCBM-633,08-05-2016,23:54:00,успешно,нет,0.0
юр. лицо,получение средств,1759.36,безналичный,Гродно,Приорбанк-LJVA-506,23-03-2010,04:27:36,успешно,нет,0.0
физ. лицо,получение средств,3199.66,наличный,Гродно,Приорбанк-LGXP-336,25-08-2024,11:39:51,успешно,нет,0.0
юр. лицо,получение средств,1394.59,наличный,Витебск,Приорбанк-XTMY-759,20-12-2000,17:55:52,успешно,нет,0.0
юр. лицо,списание средств,1489.35,наличный,Гродно,Белинвестбанк-WMCP-406,02-10-2019,16:13:25,недостаточно средств,да,74.9
юр. лицо,получение средств,3082.3,безналичный,Витебск,БелАгропромбанк-ZGNT-649,15-10-2015,14:52:09,успешно,нет,0.0
юр. лицо,получение средств,1474.6,наличный,Могилев,Приорбанк-BXCG-175,30-08-2017,18:18:34,успешно,нет,0.0
физ. лицо,получение средств,389.65,безналичный,Могилев,МаксБанк-IGWU-294,31-12-2021,08:30:01,успешно,нет,0.0
юр. лицо,получение средств,2593.85,безналичный,Могилев,Белинвестбанк-BEGZ-756,27-02-2006,13:32:30,успешно,нет,0.0
физ. лицо,получение средств,331.23,наличный,Витебск,Приорбанк-XGCC-001,23-06-2005,13:41:46,успешно,нет,0.0
физ. лицо,получение средств,119.78,наличный,Витебск,БелАгропромбанк-RSFL-768,31-01-2005,13:46:57,успешно,нет,0.0
юр. лицо,списание средств,3030.45,наличный,Могилев,Белинвестбанк-BSTP-047,30-04-2000,12:55:57,недостаточно средств,нет,0.0
физ. лицо,списание средств,1453.51,безналичный,Гомель,Белинвестбанк-UBNE-763,30-10-2019,06:08:25,неправильный ввод пин-кода,да,29.51
физ. лицо,списание средств,3911.26,безналичный,Брест,БелАгропромбанк-WHLE-339,05-12-2011,10:49:51,недостаточно средств,нет,0.0
юр. лицо,получение средств,2638.91,наличный,Минск,Беларусбанк-VEOK-314,07-09-2009,07:10:52,успешно,нет,0.0
физ. лицо,списание средств,2011.27,безналичный,Могилев,БелАгропромбанк-LATZ-155,10-05-2022,21:46:54,успешно,нет,0.0
юр. лицо,получение средств,2192.86,безналичный,Витебск,Беларусбанк-QUXB-147,15-09-2008,12:49:40,успешно,нет,0.0
физ. лицо,получение средств,1031.93,безналичный,Витебск,Белинвестбанк-FMPC-405,05-10-2023,11:33:50,успешно,нет,0.0
физ. лицо,получение средств,644.36,наличный,Гомель,Приорбанк-HDVZ-680,07-11-2024,22:20:01,успешно,нет,0.0
юр. лицо,списание средств,1622.52,наличный,Гродно,БелАгропромбанк-DEVL-526,19-05-2014,13:24:57,успешно,нет,0.0
физ. лицо,получение средств,4550.96,безналичный,Гомель,БелАгропромбанк-GFSE-079,12-04-2019,07:00:09,успешно,нет,0.0
физ. лицо,получение средств,1495.83,безналичный,Гродно,МаксБанк-PERT-402,23-10-2011,00:52:24,успешно,нет,0.0
физ. лицо,списание средств,1917.17,безналичный,Витебск,Беларусбанк-ETND-441,08-10-2017,23:46:42,успешно,нет,0.0
юр. лицо,списание средств,1962.29,наличный,Витебск,БелАгропромбанк-UOVP-399,20-05-2005,05:44:02,недостаточно средств,нет,0.0
физ. лицо,получение средств,813.6,наличный,Гродно,Приорбанк-KKCR-387,03-05-2009,23:01:45,успешно,нет,0.0
физ. лицо,списание средств,436.09,наличный,Витебск,Белинвестбанк-PVNF-537,10-02-2020,23:49:56,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,586.32,безналичный,Гродно,Белинвестбанк-SLUC-865,13-04-2005,23:28:25,успешно,нет,0.0
юр. лицо,списание средств,4935.99,наличный,Минск,Беларусбанк-IGOH-853,13-02-2001,22:21:00,успешно,нет,0.0
юр. лицо,списание средств,2433.66,наличный,Витебск,Приорбанк-PFSS-030,24-06-2007,18:14:53,недостаточно средств,нет,0.0
юр. лицо,списание средств,2330.42,наличный,Гродно,БелАгропромбанк-YWZK-874,18-07-2000,04:06:47,недостаточно средств,да,53.05
физ. лицо,списание средств,3429.91,безналичный,Витебск,Беларусбанк-ROQU-081,31-01-2008,17:02:29,недостаточно средств,нет,0.0
юр. лицо,получение средств,4204.39,наличный,Витебск,БелАгропромбанк-PCDM-766,28-10-2015,17:46:56,успешно,нет,0.0
физ. лицо,списание средств,96.44,безналичный,Гродно,БелАгропромбанк-YOAE-186,13-06-2001,23:55:53,неправильный ввод пин-кода,да,2.67
физ. лицо,списание средств,395.28,наличный,Гомель,Приорбанк-NYSN-812,10-11-2012,09:12:50,успешно,да,26.97
юр. лицо,получение средств,2737.08,наличный,Гомель,Беларусбанк-RPAJ-684,22-07-2010,03:46:51,успешно,нет,0.0
юр. лицо,получение средств,3036.64,наличный,Брест,МаксБанк-FPBX-364,07-05-2010,13:16:22,успешно,нет,0.0
физ. лицо,списание средств,38.3,безналичный,Гродно,Белинвестбанк-LRHI-666,18-09-2017,20:52:48,неправильный ввод пин-кода,да,2.24
юр. лицо,получение средств,894.02,наличный,Витебск,БелАгропромбанк-EQHZ-284,27-05-2012,08:07:42,успешно,нет,0.0
физ. лицо,списание средств,2578.39,безналичный,Гродно,МаксБанк-HFYH-151,30-10-2000,22:04:33,недостаточно средств,нет,0.0
физ. лицо,получение средств,1869.65,безналичный,Витебск,БелАгропромбанк-KKSV-681,11-03-2000,20:16:06,успешно,нет,0.0
юр. лицо,списание средств,1439.47,наличный,Гомель,Беларусбанк-OQCW-402,18-11-2015,14:24:30,недостаточно средств,нет,0.0
юр. лицо,получение средств,4723.87,наличный,Витебск,Приорбанк-KGUM-159,17-01-2022,03:13:35,успешно,нет,0.0
юр. лицо,получение средств,3920.93,наличный,Брест,МаксБанк-WDWA-743,28-07-2024,09:28:34,успешно,нет,0.0
юр. лицо,списание средств,3142.71,наличный,Брест,Приорбанк-CYWM-502,14-05-2017,11:35:04,успешно,нет,0.0
юр. лицо,получение средств,422.7,безналичный,Витебск,Белинвестбанк-ZUKL-617,08-12-2017,04:30:52,успешно,нет,0.0
физ. лицо,списание средств,656.37,безналичный,Брест,МаксБанк-FDUU-074,29-09-2009,20:13:45,неправильный ввод пин-кода,да,15.81
физ. лицо,получение средств,3005.95,наличный,Брест,Приорбанк-MBSG-538,04-08-2016,21:16:45,успешно,нет,0.0
юр. лицо,списание средств,2197.08,безналичный,Минск,БелАгропромбанк-LPKS-913,31-07-2022,02:05:11,недостаточно средств,да,187.94
юр. лицо,получение средств,3755.84,безналичный,Могилев,МаксБанк-YJWU-002,12-04-2005,04:09:16,успешно,нет,0.0
юр. лицо,списание средств,1986.87,безналичный,Могилев,Белинвестбанк-EOFW-517,15-09-2010,03:06:11,неправильный ввод пин-кода,да,99.87
юр. лицо,списание средств,2335.41,безналичный,Брест,БелАгропромбанк-HXDF-895,08-06-2013,05:31:30,успешно,нет,0.0
физ. лицо,списание средств,2903.19,наличный,Гомель,МаксБанк-MPGT-513,10-01-2004,10:30:53,недостаточно средств,нет,0.0
физ. лицо,списание средств,1677.7,безналичный,Гомель,Приорбанк-PIYC-389,06-12-2005,18:20:26,недостаточно средств,да,97.21
физ. лицо,получение средств,4080.68,наличный,Гомель,МаксБанк-DIBU-358,28-06-2022,09:46:42,успешно,нет,0.0
физ. лицо,списание средств,4720.81,безналичный,Гомель,МаксБанк-GOAP-959,04-04-2006,22:58:02,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,24.85,безналичный,Минск,БелАгропромбанк-NZZQ-663,23-05-2021,09:26:57,неправильный ввод пин-кода,да,1.44
юр. лицо,списание средств,4491.29,безналичный,Витебск,Белинвестбанк-GWSD-850,05-10-2016,05:05:34,неправильный ввод пин-кода,да,253.64
физ. лицо,получение средств,3916.0,безналичный,Могилев,МаксБанк-EEXO-176,10-03-2017,22:36:12,успешно,нет,0.0
физ. лицо,получение средств,1301.85,наличный,Брест,Белинвестбанк-UZAP-145,10-11-2013,02:41:06,успешно,нет,0.0
юр. лицо,получение средств,4547.67,безналичный,Минск,Приорбанк-FNVD-939,22-04-2015,14:01:28,успешно,нет,0.0
физ. лицо,списание средств,4517.91,наличный,Гомель,БелАгропромбанк-CQXP-012,25-05-2022,14:58:00,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3713.92,наличный,Гродно,Белинвестбанк-UQCN-540,06-11-2016,03:53:50,недостаточно средств,да,203.85
физ. лицо,получение средств,2283.41,безналичный,Гродно,БелАгропромбанк-PLBB-963,09-12-2003,02:41:44,успешно,нет,0.0
физ. лицо,списание средств,2107.81,наличный,Могилев,МаксБанк-WIIG-421,31-12-2024,13:17:46,недостаточно средств,нет,0.0
юр. лицо,получение средств,3378.86,безналичный,Минск,Белинвестбанк-FBHS-392,09-06-2009,15:56:26,успешно,нет,0.0
юр. лицо,списание средств,4921.05,безналичный,Гродно,МаксБанк-IFMI-144,04-09-2022,01:50:18,неправильный ввод пин-кода,да,331.18
физ. лицо,списание средств,1068.37,безналичный,Минск,Белинвестбанк-NAXW-610,16-09-2022,19:36:33,недостаточно средств,да,27.48
физ. лицо,получение средств,367.11,наличный,Брест,Беларусбанк-JFFG-085,20-02-2015,12:36:12,успешно,нет,0.0
юр. лицо,списание средств,978.89,наличный,Могилев,Приорбанк-MMOJ-878,12-05-2011,16:00:41,недостаточно средств,да,20.71
физ. лицо,получение средств,357.67,наличный,Гродно,МаксБанк-QZJI-488,23-03-2020,01:31:52,успешно,нет,0.0
юр. лицо,получение средств,2416.02,безналичный,Гродно,МаксБанк-TKMH-102,27-07-2015,19:07:45,успешно,нет,0.0
физ. лицо,списание средств,2674.73,наличный,Гродно,МаксБанк-ICNJ-733,31-08-2023,15:36:17,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3517.21,безналичный,Гомель,Белинвестбанк-RBYH-951,15-12-2019,09:01:12,успешно,нет,0.0
физ. лицо,получение средств,2120.04,безналичный,Гомель,Беларусбанк-JGMN-022,11-06-2021,21:56:45,успешно,нет,0.0
юр. лицо,получение средств,703.18,безналичный,Могилев,МаксБанк-FTOW-297,23-01-2016,05:52:58,успешно,нет,0.0
физ. лицо,списание средств,2263.31,безналичный,Гомель,Беларусбанк-BAKP-507,04-05-2003,22:03:14,неправильный ввод пин-кода,да,127.65
юр. лицо,получение средств,3486.34,безналичный,Витебск,МаксБанк-XUFI-173,12-12-2000,22:01:44,успешно,нет,0.0
физ. лицо,получение средств,4084.84,безналичный,Витебск,МаксБанк-TBTV-742,12-09-2024,08:55:21,успешно,нет,0.0
юр. лицо,списание средств,1273.14,безналичный,Витебск,БелАгропромбанк-GYQY-087,04-04-2016,08:13:08,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,505.78,безналичный,Гомель,Беларусбанк-GXVX-143,25-03-2021,08:58:29,успешно,нет,0.0
юр. лицо,получение средств,638.23,наличный,Витебск,Беларусбанк-OTPH-840,17-09-2013,07:16:06,успешно,нет,0.0
физ. лицо,получение средств,4048.43,наличный,Брест,МаксБанк-DAJO-870,08-12-2003,12:01:04,успешно,нет,0.0
юр. лицо,списание средств,1830.71,безналичный,Минск,БелАгропромбанк-ERHU-583,12-04-2009,13:36:03,успешно,да,62.08
юр. лицо,получение средств,4486.22,наличный,Брест,Беларусбанк-BJGE-391,17-07-2006,15:32:27,успешно,нет,0.0
физ. лицо,получение средств,4557.62,безналичный,Минск,Приорбанк-JLOA-348,12-03-2002,23:52:52,успешно,нет,0.0
юр. лицо,получение средств,3233.77,безналичный,Минск,БелАгропромбанк-GRBP-022,26-01-2003,09:02:32,успешно,нет,0.0
физ. лицо,получение средств,2756.67,наличный,Гродно,МаксБанк-WMWL-939,09-12-2023,05:09:52,успешно,нет,0.0
физ. лицо,получение средств,4623.2,наличный,Минск,Беларусбанк-MUCF-192,10-07-2007,07:51:38,успешно,нет,0.0
юр. лицо,списание средств,1943.13,наличный,Брест,БелАгропромбанк-LUJX-702,12-09-2011,01:06:02,недостаточно средств,нет,0.0
физ. лицо,списание средств,146.26,безналичный,Гродно,МаксБанк-MXDF-135,06-07-2011,00:13:09,недостаточно средств,да,14.15
юр. лицо,списание средств,3903.77,наличный,Могилев,БелАгропромбанк-DXPF-547,27-12-2007,17:09:12,неправильный ввод пин-кода,да,214.93
юр. лицо,списание средств,2395.96,безналичный,Минск,Приорбанк-ZHOB-617,08-02-2024,20:18:02,неправильный ввод пин-кода,да,34.17
физ. лицо,списание средств,3097.86,наличный,Гомель,БелАгропромбанк-YLWW-707,06-06-2017,20:13:31,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4717.26,безналичный,Минск,МаксБанк-ZHRV-892,10-08-2016,07:26:37,успешно,да,173.84
юр. лицо,списание средств,804.12,безналичный,Гомель,Приорбанк-RGXV-280,12-11-2006,20:25:48,неправильный ввод пин-кода,да,42.75
юр. лицо,списание средств,794.57,наличный,Могилев,БелАгропромбанк-BNMH-375,16-11-2001,08:03:53,недостаточно средств,нет,0.0
юр. лицо,получение средств,3519.51,наличный,Витебск,Белинвестбанк-UFBY-198,16-08-2000,08:19:54,успешно,нет,0.0
физ. лицо,списание средств,1065.26,безналичный,Минск,Беларусбанк-XVDV-551,04-10-2022,22:42:15,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3869.8,наличный,Брест,БелАгропромбанк-GWOE-986,08-12-2018,13:37:34,неправильный ввод пин-кода,да,52.13
юр. лицо,списание средств,4177.17,безналичный,Могилев,Приорбанк-SIYR-072,16-09-2001,05:40:59,недостаточно средств,да,144.19
юр. лицо,списание средств,1072.42,безналичный,Гродно,Приорбанк-IWNQ-248,31-12-2018,13:59:25,недостаточно средств,нет,0.0
юр. лицо,списание средств,871.75,безналичный,Витебск,Беларусбанк-TTTW-102,29-10-2007,14:25:41,недостаточно средств,да,72.18
юр. лицо,получение средств,1846.44,безналичный,Гродно,Беларусбанк-TMMN-989,24-02-2007,23:10:18,успешно,нет,0.0
юр. лицо,получение средств,2486.46,безналичный,Брест,Приорбанк-XWAJ-792,14-11-2016,13:45:58,успешно,нет,0.0
физ. лицо,получение средств,2458.47,безналичный,Минск,Приорбанк-IFAK-767,09-05-2012,15:53:43,успешно,нет,0.0
юр. лицо,списание средств,2540.98,безналичный,Брест,БелАгропромбанк-WWHW-533,19-07-2008,18:05:18,недостаточно средств,нет,0.0
юр. лицо,списание средств,675.5,безналичный,Минск,БелАгропромбанк-PQCT-856,16-01-2003,05:54:37,успешно,нет,0.0
юр. лицо,списание средств,464.47,безналичный,Могилев,Беларусбанк-TFQH-829,15-07-2021,15:14:34,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4501.2,наличный,Могилев,Беларусбанк-RRFR-313,31-03-2012,02:30:34,неправильный ввод пин-кода,да,188.94
юр. лицо,списание средств,2131.77,безналичный,Брест,Беларусбанк-QGHQ-949,23-07-2008,09:58:08,неправильный ввод пин-кода,да,135.6
физ. лицо,списание средств,3669.92,безналичный,Могилев,БелАгропромбанк-JEUG-189,27-09-2004,16:49:39,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,264.39,безналичный,Витебск,МаксБанк-RQCR-235,16-09-2019,11:32:16,успешно,нет,0.0
физ. лицо,списание средств,2754.65,безналичный,Могилев,Белинвестбанк-LWLS-666,01-06-2006,04:52:19,успешно,нет,0.0
юр. лицо,списание средств,1753.03,безналичный,Брест,МаксБанк-XRZR-749,31-10-2005,23:02:25,недостаточно средств,да,126.21
физ. лицо,списание средств,3270.58,наличный,Гомель,МаксБанк-CWTT-533,27-04-2017,13:35:32,успешно,да,322.21
физ. лицо,списание средств,1616.81,наличный,Могилев,Белинвестбанк-GZKD-368,27-01-2020,17:51:56,недостаточно средств,да,98.94
физ. лицо,получение средств,240.98,наличный,Минск,Беларусбанк-VDIU-593,26-05-2008,20:11:53,успешно,нет,0.0
юр. лицо,списание средств,4272.9,безналичный,Витебск,БелАгропромбанк-XJWJ-704,09-03-2008,18:43:40,успешно,да,403.46
юр. лицо,списание средств,2603.6,наличный,Витебск,Приорбанк-SBLR-315,14-10-2001,22:17:17,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1676.07,безналичный,Витебск,Белинвестбанк-RMGR-923,24-07-2006,09:40:02,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3346.75,наличный,Гродно,Белинвестбанк-VRXZ-995,12-12-2016,14:20:53,успешно,нет,0.0
физ. лицо,получение средств,3555.81,наличный,Минск,Беларусбанк-FSSM-494,26-09-2023,05:18:19,успешно,нет,0.0
физ. лицо,списание средств,486.51,безналичный,Брест,БелАгропромбанк-ZYTM-680,26-01-2005,13:58:45,успешно,нет,0.0
физ. лицо,получение средств,256.54,наличный,Гродно,МаксБанк-KJTQ-395,29-12-2006,20:42:27,успешно,нет,0.0
физ. лицо,получение средств,616.52,наличный,Гродно,МаксБанк-PRVZ-895,01-04-2018,08:07:17,успешно,нет,0.0
юр. лицо,списание средств,4359.05,безналичный,Могилев,БелАгропромбанк-DFFE-046,26-01-2015,14:42:03,успешно,да,422.46
физ. лицо,получение средств,4689.6,безналичный,Гродно,БелАгропромбанк-MLDF-644,21-06-2012,01:01:49,успешно,нет,0.0
юр. лицо,получение средств,1985.07,наличный,Гомель,Белинвестбанк-JFYX-922,12-06-2007,14:11:32,успешно,нет,0.0
физ. лицо,списание средств,4557.98,безналичный,Гомель,Беларусбанк-UDTH-046,06-01-2010,18:47:28,успешно,да,84.67
физ. лицо,списание средств,1167.12,наличный,Гомель,Белинвестбанк-ZKIX-459,22-11-2010,14:15:42,успешно,нет,0.0
юр. лицо,получение средств,112.3,безналичный,Брест,БелАгропромбанк-UENU-021,22-08-2016,23:43:32,успешно,нет,0.0
юр. лицо,получение средств,3776.34,безналичный,Могилев,Белинвестбанк-YSOT-599,16-11-2021,17:25:03,успешно,нет,0.0
физ. лицо,списание средств,1607.06,безналичный,Минск,Беларусбанк-ISOZ-530,24-11-2018,21:04:51,недостаточно средств,нет,0.0
физ. лицо,получение средств,4331.38,наличный,Гомель,Приорбанк-PEXE-200,09-02-2017,01:13:02,успешно,нет,0.0
юр. лицо,получение средств,2483.12,наличный,Могилев,МаксБанк-DWID-537,26-01-2003,10:10:44,успешно,нет,0.0
физ. лицо,списание средств,2525.12,безналичный,Минск,Белинвестбанк-DSQM-399,13-02-2009,21:24:40,неправильный ввод пин-кода,да,237.0
физ. лицо,получение средств,4573.13,безналичный,Могилев,МаксБанк-KCPT-240,01-04-2003,16:46:03,успешно,нет,0.0
юр. лицо,списание средств,2754.29,наличный,Брест,Белинвестбанк-XFYU-604,23-08-2023,13:54:17,недостаточно средств,да,271.54
юр. лицо,получение средств,4204.93,безналичный,Гомель,МаксБанк-XQVD-744,10-03-2010,03:38:53,успешно,нет,0.0
юр. лицо,списание средств,598.35,наличный,Брест,БелАгропромбанк-ISHU-235,22-06-2003,23:48:06,неправильный ввод пин-кода,да,15.07
юр. лицо,получение средств,2395.51,наличный,Могилев,Белинвестбанк-YJWZ-395,06-08-2006,14:10:24,успешно,нет,0.0
физ. лицо,списание средств,2673.3,безналичный,Минск,Беларусбанк-XEIQ-265,25-06-2008,09:51:56,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3214.61,наличный,Гродно,МаксБанк-IZCK-519,29-07-2019,00:27:36,успешно,нет,0.0
физ. лицо,списание средств,1901.14,безналичный,Могилев,Белинвестбанк-JTVC-549,22-08-2018,19:53:03,успешно,нет,0.0
физ. лицо,списание средств,1476.77,наличный,Брест,Беларусбанк-OYCZ-567,26-05-2018,01:22:06,неправильный ввод пин-кода,да,26.78
